 m_0     m_1/2     m_~q       m_~g           2jets            3jets                 4jets
1900  400  2.042e+03  1.037e+03  0.4332  0.7329  0.7608
1900  450  2.081e+03  1.149e+03  0.2083  0.3080  0.3003
1900  500  2.124e+03  1.259e+03  0.1025  0.1370  0.1287
1900  550  2.171e+03  1.368e+03  0.0464  0.0578  0.0520
1900  600  2.220e+03  1.475e+03  0.0205  0.0243  0.0216
1900  650  2.271e+03  1.581e+03  0.0093  0.0106  0.0092
1900  700  2.325e+03  1.686e+03  0.0040  0.0044  0.0038
1900  750  2.382e+03  1.789e+03  0.0017  0.0019  0.0016
1900  800  2.440e+03  1.893e+03  0.0008  0.0008  0.0007
1900  900  2.560e+03  2.097e+03  0.0001  0.0001  0.0001
1900  1000  2.687e+03  2.299e+03  0.0000  0.0000  0.0000
1900  1100  2.818e+03  2.498e+03  0.0000  0.0000  0.0000
1900  1200  2.953e+03  2.696e+03  0.0000  0.0000  0.0000
2000  100  1.987e+03  3.098e+02  3.6500  26.8065  30.9591
2000  150  2.001e+03  4.418e+02  7.3293  19.1376  29.7487
2000  200  2.018e+03  5.683e+02  3.9310  12.9404  17.6902
2000  225  2.029e+03  6.300e+02  2.8679  8.9438  13.3147
2000  250  2.041e+03  6.907e+02  2.5052  6.6674  9.2827
2000  275  2.054e+03  7.506e+02  1.8930  5.1339  6.6593
2000  300  2.067e+03  8.096e+02  1.6233  3.7166  4.6071
2000  325  2.082e+03  8.683e+02  1.0517  2.3424  2.7768
2000  350  2.098e+03  9.262e+02  0.7742  1.5534  1.7402
2000  375  2.114e+03  9.835e+02  0.5439  1.0186  1.1194
2000  400  2.132e+03  1.040e+03  0.3774  0.6758  0.7040
2000  450  2.170e+03  1.152e+03  0.1930  0.2906  0.2787
2000  500  2.211e+03  1.263e+03  0.0875  0.1203  0.1140
2000  550  2.255e+03  1.372e+03  0.0403  0.0512  0.0465
2000  600  2.302e+03  1.479e+03  0.0173  0.0209  0.0185
2000  650  2.352e+03  1.586e+03  0.0078  0.0090  0.0079
2000  700  2.404e+03  1.691e+03  0.0033  0.0036  0.0032
2000  750  2.458e+03  1.795e+03  0.0014  0.0015  0.0013
2000  800  2.514e+03  1.898e+03  0.0006  0.0006  0.0005
2000  900  2.632e+03  2.103e+03  0.0001  0.0001  0.0001
2000  1000  2.755e+03  2.305e+03  0.0000  0.0000  0.0000
2000  1100  2.883e+03  2.505e+03  0.0000  0.0000  0.0000
2000  1200  3.014e+03  2.703e+03  0.0000  0.0000  0.0000
2100  100  2.086e+03  3.106e+02  7.6821  26.1087  17.2846
2100  150  2.098e+03  4.427e+02  6.8302  21.2287  33.1464
2100  200  2.115e+03  5.696e+02  4.7894  13.4464  18.4180
2100  225  2.125e+03  6.315e+02  3.1736  9.6007  13.5912
2100  250  2.136e+03  6.924e+02  2.2603  6.3733  8.9804
2100  275  2.148e+03  7.525e+02  2.0223  4.9837  6.6304
2100  300  2.162e+03  8.117e+02  1.4912  3.4494  4.4066
2100  325  2.176e+03  8.705e+02  0.9671  2.1704  2.5856
2100  350  2.191e+03  9.286e+02  0.7108  1.4725  1.6511
2100  375  2.206e+03  9.861e+02  0.5069  0.9487  1.0453
2100  400  2.223e+03  1.043e+03  0.3695  0.6449  0.6824
2100  450  2.259e+03  1.156e+03  0.1805  0.2740  0.2701
2100  500  2.299e+03  1.266e+03  0.0805  0.1126  0.1074
2100  550  2.341e+03  1.376e+03  0.0355  0.0457  0.0418
2100  600  2.386e+03  1.484e+03  0.0153  0.0186  0.0166
2100  650  2.434e+03  1.590e+03  0.0066  0.0075  0.0066
2100  700  2.484e+03  1.696e+03  0.0028  0.0031  0.0027
2100  750  2.536e+03  1.800e+03  0.0000  0.0000  0.0000
2100  800  2.591e+03  1.904e+03  0.0000  0.0000  0.0000
2100  900  2.705e+03  2.109e+03  0.0001  0.0001  0.0001
2100  1000  2.824e+03  2.311e+03  0.0000  0.0000  0.0000
2100  1100  2.949e+03  2.511e+03  0.0000  0.0000  0.0000
2100  1200  3.078e+03  2.710e+03  0.0000  0.0000  0.0000
2200  100  0  0  0.0000  0.0000  0.0000
2200  150  2.196e+03  4.437e+02  6.6105  19.7372  27.4439
2200  200  2.212e+03  5.709e+02  4.3862  13.1211  18.9893
2200  225  2.222e+03  6.329e+02  3.1227  9.4580  13.8292
2200  250  2.232e+03  6.940e+02  2.1204  6.2636  8.4964
2200  275  2.244e+03  7.543e+02  1.6529  4.3722  5.9902
2200  300  0  0  0.0000  0.0000  0.0000
2200  325  2.270e+03  8.722e+02  0.9173  2.0116  2.5308
2200  350  2.284e+03  9.309e+02  0.6425  1.4012  1.5866
2200  375  2.299e+03  9.886e+02  0.4969  0.9368  1.0399
2200  400  2.315e+03  1.046e+03  0.3393  0.6061  0.6442
2200  450  2.350e+03  1.159e+03  0.1649  0.2558  0.2595
2200  500  2.387e+03  1.270e+03  0.0736  0.1048  0.0997
2200  550  2.428e+03  1.379e+03  0.0328  0.0425  0.0395
2200  600  2.472e+03  1.488e+03  0.0138  0.0168  0.0152
2200  650  2.517e+03  1.594e+03  0.0059  0.0068  0.0060
2200  700  2.566e+03  1.700e+03  0.0024  0.0027  0.0023
2200  750  2.616e+03  1.805e+03  0.0010  0.0011  0.0009
2200  800  2.669e+03  1.909e+03  0.0000  0.0000  0.0000
2200  900  2.779e+03  2.114e+03  0.0001  0.0001  0.0000
2200  1000  2.896e+03  2.317e+03  0.0000  0.0000  0.0000
2200  1100  3.017e+03  2.518e+03  0.0000  0.0000  0.0000
2200  1200  3.143e+03  2.716e+03  0.0000  0.0000  0.0000
2300  100  2.282e+03  3.125e+02  9.2845  26.9149  29.7106
2300  150  2.294e+03  4.446e+02  7.2035  20.3420  27.0094
2300  200  2.310e+03  5.721e+02  4.5649  13.1136  17.8059
2300  225  2.319e+03  6.343e+02  3.0924  9.4270  13.4212
2300  250  2.329e+03  6.955e+02  2.0142  5.8863  8.3773
2300  275  2.340e+03  7.560e+02  1.4662  4.1647  5.6643
2300  300  2.352e+03  8.157e+02  1.2617  3.0750  3.9029
2300  325  2.364e+03  8.746e+02  0.8903  2.0927  2.4675
2300  350  2.378e+03  9.330e+02  0.6064  1.2955  1.5095
2300  375  2.392e+03  9.909e+02  0.4562  0.8930  0.9839
2300  400  2.408e+03  1.048e+03  0.3208  0.5766  0.6240
2300  450  2.441e+03  1.161e+03  0.1573  0.2477  0.2527
2300  500  2.477e+03  1.273e+03  0.0695  0.0998  0.0958
2300  550  2.516e+03  1.383e+03  0.0300  0.0398  0.0370
2300  600  2.558e+03  1.491e+03  0.0127  0.0158  0.0142
2300  650  2.602e+03  1.599e+03  0.0052  0.0061  0.0054
2300  700  2.648e+03  1.705e+03  0.0022  0.0024  0.0021
2300  750  2.697e+03  1.810e+03  0.0009  0.0009  0.0008
2300  800  2.748e+03  1.914e+03  0.0003  0.0003  0.0003
2300  900  2.855e+03  2.120e+03  0.0000  0.0000  0.0000
2300  1000  2.968e+03  2.323e+03  0.0000  0.0000  0.0000
2300  1100  3.087e+03  2.524e+03  0.0000  0.0000  0.0000
2300  1200  3.210e+03  2.722e+03  0.0000  0.0000  0.0000
2400  100  0  0  0.0000  0.0000  0.0000
2400  150  2.392e+03  4.454e+02  5.0460  17.8552  29.8879
2400  200  2.407e+03  5.732e+02  3.8213  12.8942  17.9384
2400  225  2.416e+03  6.356e+02  3.1815  8.8597  13.2310
2400  250  2.425e+03  6.970e+02  1.7932  5.4099  7.7557
2400  275  2.436e+03  7.576e+02  1.5961  4.0233  5.3090
2400  300  2.447e+03  8.174e+02  1.1899  3.0035  3.8496
2400  325  2.459e+03  8.766e+02  0.8865  2.0763  2.4663
2400  350  2.472e+03  9.333e+02  0.5460  1.2117  1.4270
2400  375  2.486e+03  9.932e+02  0.4322  0.8560  0.9349
2400  400  2.501e+03  1.051e+03  0.3137  0.5628  0.6067
2400  450  2.532e+03  1.164e+03  0.1478  0.2363  0.2339
2400  500  2.567e+03  1.276e+03  0.0667  0.0956  0.0921
2400  550  2.605e+03  1.386e+03  0.0291  0.0387  0.0358
2400  600  2.645e+03  1.495e+03  0.0120  0.0149  0.0134
2400  650  2.687e+03  1.603e+03  0.0050  0.0058  0.0051
2400  700  2.732e+03  1.709e+03  0.0020  0.0022  0.0019
2400  750  2.780e+03  1.814e+03  0.0000  0.0000  0.0000
2400  800  2.829e+03  1.919e+03  0.0003  0.0003  0.0003
2400  900  2.932e+03  2.125e+03  0.0000  0.0000  0.0000
2400  1000  3.043e+03  2.328e+03  0.0000  0.0000  0.0000
2400  1100  3.158e+03  2.530e+03  0.0000  0.0000  0.0000
2400  1200  3.278e+03  2.729e+03  0.0000  0.0000  0.0000
2500  100  2.479e+03  3.132e+02  3.6667  14.6667  27.5000
2500  150  2.490e+03  4.463e+02  6.7104  20.8979  30.2924
2500  200  2.504e+03  5.743e+02  4.4748  11.1530  16.5992
2500  225  2.513e+03  6.368e+02  3.1651  9.1790  12.4600
2500  250  2.522e+03  6.984e+02  1.8896  5.2922  7.4396
2500  275  2.532e+03  7.591e+02  1.5182  3.8404  5.1321
2500  300  2.543e+03  8.191e+02  1.1086  2.8380  3.5195
2500  325  2.554e+03  8.785e+02  0.8589  1.9612  2.3779
2500  350  2.567e+03  9.371e+02  0.5570  1.1990  1.3976
2500  375  2.580e+03  9.952e+02  0.4114  0.8267  0.9104
2500  400  2.594e+03  1.053e+03  0.2882  0.5256  0.5770
2500  450  2.625e+03  1.167e+03  0.1402  0.2260  0.2313
2500  500  2.658e+03  1.279e+03  0.0632  0.0913  0.0885
2500  550  2.694e+03  1.389e+03  0.0284  0.0373  0.0344
2500  600  2.733e+03  1.498e+03  0.0115  0.0144  0.0129
2500  650  2.774e+03  1.606e+03  0.0047  0.0055  0.0048
2500  700  2.817e+03  1.713e+03  0.0018  0.0021  0.0018
2500  750  2.863e+03  1.819e+03  0.0007  0.0008  0.0007
2500  800  2.910e+03  1.924e+03  0.0000  0.0000  0.0000
2500  900  3.011e+03  2.130e+03  0.0000  0.0000  0.0000
2500  1000  3.118e+03  2.334e+03  0.0000  0.0000  0.0000
2500  1100  3.231e+03  2.535e+03  0.0000  0.0000  0.0000
2500  1200  3.348e+03  2.735e+03  0.0000  0.0000  0.0000
