alphaem    127.925 +- 0.00499703
G_F        1.16637E-5 +- 1E-6
alphas     0.1176 +- 0.00079243
massZ      91.1875 +- 0.000760793
massBottom   4.20 +- 0.0578435
massTop      173.1 +- 0.343105
M0           7.40381e+01 +- 0.661458
M12          3.30382e+02 +- 4.0953
A0           3.82113e+02 +- 49.3752
TanBeta      1.27859e+01 +- 0.18691
