    200.	    200.	.37249E+03	.47104E+03	.12646E+01
    200.	    250.	.33210E+03	.38112E+03	.11476E+01
    200.	    300.	.29084E+03	.30456E+03	.10472E+01
    200.	    350.	.25525E+03	.26046E+03	.10204E+01
    200.	    400.	.22492E+03	.22751E+03	.10115E+01
    200.	    450.	.19913E+03	.20364E+03	.10226E+01
    200.	    500.	.17718E+03	.18233E+03	.10291E+01
    200.	    550.	.15842E+03	.16419E+03	.10364E+01
    200.	    600.	.14233E+03	.14508E+03	.10193E+01
    200.	    650.	.12845E+03	.13557E+03	.10555E+01
    200.	    700.	.11641E+03	.12302E+03	.10568E+01
    200.	    750.	.10593E+03	.11191E+03	.10564E+01
    200.	    800.	.96748E+02	.10486E+03	.10838E+01
    200.	    850.	.88673E+02	.97900E+02	.11041E+01
    200.	    900.	.81537E+02	.92015E+02	.11285E+01
    200.	    950.	.75205E+02	.85967E+02	.11431E+01
    200.	   1000.	.69563E+02	.82571E+02	.11870E+01
    200.	   1050.	.64516E+02	.79335E+02	.12297E+01
    200.	   1100.	.59987E+02	.76379E+02	.12733E+01
    200.	   1150.	.55907E+02	.74606E+02	.13345E+01
    200.	   1200.	.52220E+02	.73315E+02	.14040E+01
    200.	   1250.	.48879E+02	.72114E+02	.14754E+01
    200.	   1300.	.45841E+02	.71986E+02	.15703E+01
    200.	   1350.	.43073E+02	.72291E+02	.16783E+01
    200.	   1400.	.40544E+02	.72006E+02	.17760E+01
    200.	   1450.	.38226E+02	.72985E+02	.19093E+01
    200.	   1500.	.36099E+02	.73656E+02	.20404E+01
    200.	   1550.	.34141E+02	.74757E+02	.21897E+01
    200.	   1600.	.32335E+02	.76174E+02	.23558E+01
    200.	   1650.	.30666E+02	.77968E+02	.25424E+01
    200.	   1700.	.29122E+02	.79686E+02	.27363E+01
    200.	   1750.	.27689E+02	.82182E+02	.29680E+01
    200.	   1800.	.26358E+02	.83794E+02	.31791E+01
    200.	   1850.	.25119E+02	.86695E+02	.34514E+01
    200.	   1900.	.23964E+02	.89395E+02	.37304E+01
    200.	   1950.	.22886E+02	.92220E+02	.40296E+01
    200.	   2000.	.21878E+02	.95325E+02	.43572E+01
    250.	    200.	.17942E+03	.22268E+03	.12411E+01
    251.	    250.	.16049E+03	.20087E+03	.12516E+01
    250.	    300.	.14645E+03	.17276E+03	.11796E+01
    250.	    350.	.13163E+03	.14196E+03	.10784E+01
    250.	    400.	.11838E+03	.12322E+03	.10409E+01
    250.	    450.	.10666E+03	.10907E+03	.10226E+01
    250.	    500.	.96364E+02	.98574E+02	.10229E+01
    250.	    550.	.87325E+02	.89631E+02	.10264E+01
    250.	    600.	.79385E+02	.81257E+02	.10236E+01
    250.	    650.	.72398E+02	.74567E+02	.10300E+01
    250.	    700.	.66233E+02	.67432E+02	.10181E+01
    250.	    750.	.60777E+02	.62745E+02	.10324E+01
    250.	    800.	.55932E+02	.57663E+02	.10309E+01
    250.	    850.	.51617E+02	.53276E+02	.10322E+01
    250.	    900.	.47760E+02	.49038E+02	.10268E+01
    250.	    950.	.44302E+02	.46138E+02	.10414E+01
    250.	   1000.	.41192E+02	.43784E+02	.10629E+01
    250.	   1050.	.38387E+02	.41176E+02	.10726E+01
    250.	   1100.	.35850E+02	.38485E+02	.10735E+01
    250.	   1150.	.33547E+02	.36686E+02	.10936E+01
    250.	   1200.	.31453E+02	.35289E+02	.11219E+01
    250.	   1250.	.29544E+02	.33682E+02	.11401E+01
    250.	   1300.	.27798E+02	.32763E+02	.11786E+01
    250.	   1350.	.26198E+02	.31562E+02	.12047E+01
    250.	   1400.	.24729E+02	.30682E+02	.12407E+01
    250.	   1450.	.23377E+02	.30013E+02	.12838E+01
    250.	   1500.	.22131E+02	.29665E+02	.13404E+01
    250.	   1550.	.20979E+02	.28840E+02	.13747E+01
    250.	   1600.	.19913E+02	.28837E+02	.14482E+01
    250.	   1650.	.18924E+02	.28255E+02	.14931E+01
    250.	   1700.	.18005E+02	.28277E+02	.15705E+01
    250.	   1750.	.17151E+02	.28350E+02	.16530E+01
    250.	   1800.	.16354E+02	.28549E+02	.17457E+01
    250.	   1850.	.15611E+02	.28563E+02	.18297E+01
    250.	   1900.	.14916E+02	.28610E+02	.19181E+01
    250.	   1950.	.14266E+02	.28958E+02	.20299E+01
    250.	   2000.	.13656E+02	.29111E+02	.21317E+01
    300.	    200.	.94072E+02	.12092E+03	.12854E+01
    300.	    250.	.87415E+02	.10771E+03	.12322E+01
    300.	    300.	.79581E+02	.98774E+02	.12412E+01
    300.	    350.	.73754E+02	.87566E+02	.11873E+01
    300.	    400.	.67463E+02	.73906E+02	.10955E+01
    300.	    450.	.61700E+02	.64812E+02	.10504E+01
    300.	    500.	.56481E+02	.58199E+02	.10304E+01
    300.	    550.	.51783E+02	.53633E+02	.10357E+01
    300.	    600.	.47566E+02	.48987E+02	.10299E+01
    300.	    650.	.43784E+02	.44645E+02	.10197E+01
    300.	    700.	.40392E+02	.40999E+02	.10150E+01
    300.	    750.	.37345E+02	.38120E+02	.10207E+01
    300.	    800.	.34605E+02	.35280E+02	.10195E+01
    300.	    850.	.32135E+02	.33039E+02	.10281E+01
    300.	    900.	.29904E+02	.30612E+02	.10237E+01
    300.	    950.	.27885E+02	.28223E+02	.10121E+01
    300.	   1000.	.26052E+02	.26930E+02	.10337E+01
    300.	   1050.	.24386E+02	.25006E+02	.10254E+01
    300.	   1100.	.22868E+02	.23518E+02	.10284E+01
    300.	   1150.	.21481E+02	.22090E+02	.10284E+01
